sentence,details
"Why do fireflies have to die so soon?","Setsuko from Grave of the Fireflies"
"I see now that the circumstances of one's birth are irrelevant. It is what you do with the gift of life that determines who you are.","Mewtwo from Pokemon"
"People die when they are killed.","Shirou Emiya from Fate/Stay Night"
"The only ones who should kill are those who are prepared to be killed.","Lelouch vi Britannia from Code Geass"
"A heart's a heavy burden.","Sophie from Howl's Moving Castle"
"The scars you can't see are the hardest to heal.","Nao Tomori from Charlotte"
"Sometimes you need a little wishful thinking to keep on living.","Misato Katsuragi from Neon Genesis Evangelion"
"There is no truth in this world. Anyone can become a God or a Devil, all it takes is for someone to claim that to be the truth.","Eren Kruger from Attack on Titan"
"Give up on your dream and die.","Levi Ackerman from Attack on Titan"
"Talent is the part of us that others can't see.","Karma from Assassination Classroom"
"All people are nothing but tools.","Ayanokoji from Classroom of the Elite"
"It's ironic, isn't it? When granted everything, you can't do anything.","Gojo Satoru from Jujutsu Kaisen"
"Hard work is worthless for those who don't believe in themselves.","Naruto Uzumaki from Naruto"
"If you win, you live. If you lose, you die. If you don't fight, you can't win.","Eren Yeager from Attack on Titan"
"I'm not gonna run away and I never go back on my word, that is my nindo! My ninja way!","Naruto Uzumaki from Naruto"
"I am justice!","Light Yagami from Death Note"
"To protect and maintain peace, I will become evil.","Lelouch Lamperouge from Code Geass"
"I'll take a potato chip... and eat it!","Light Yagami from Death Note"
"It's not over when you lose, it's over when you quit.","Gon from Hunter x Hunter"
"I'd rather trust and regret than doubt and regret.","Kirito from Sword Art Online"
"A place where someone still thinks about you is a place you can call home.","Jiraiya from Naruto"
"You can die anytime, but living takes true courage.","Himura Kenshin from Rurouni Kenshin"
"If you can't find a reason to fight, then you shouldn't be fighting.","Akame from Akame Ga Kill"
"Power comes in response to a need, not a desire. You have to create that need.","Goku from Dragon Ball Z"
"Fools who don't respect the past are likely to repeat it.","Nico Robin from One Piece"
"When you hit the point of no return, that's the moment it truly becomes a journey.","Hinata Miyake from A place further than the Universe"
